id_casing_id,casing_id,id_casing_size
1,5.044,1
2,5.012,1
3,4.95,1
4,4.892,1
5,4.778,1
6,4.67,1
7,4.548,1
8,4.44,1
9,4.376,1
10,4.276,1
11,4.09,1
12,4.044,1
13,6.538,3
14,6.456,3
15,6.366,3
16,6.276,3
17,6.184,3
18,6.094,3
19,6.004,3
20,5.92,3
21,5.82,3
22,5.75,3
23,5.72,3
24,5.66,3
25,5.54,3
26,5.376,3
27,5.24,3
28,5.04,3
29,9.063,4
30,9.001,4
31,8.921,4
32,8.885,4
33,8.835,4
34,8.755,4
35,8.681,4
36,8.535,4
37,8.435,4
38,8.407,4
39,8.375,4
40,8.281,4
41,8.157,4
42,8.125,4
43,6.135,2
44,6.049,2
45,5.921,2
46,5.791,2
47,5.675,2
48,5.575,2
49,5.375,2
50,4.375,2
