id_casing_size,casing_size,casing_drift_id,
1,5.5#13,4.919,
2,5.5#14,4.887,
3,5.5#15.5,4.825,
4,5.5#17,4.767,
5,5.5#20,4.653,
6,5.5#23,4.545,
7,5.5#26,4.423,
8,5.5#28.4,4.315,
9,5.5#29.7,4.251,
10,5.5#32.3,4.151,
11,5.5#36.4,3.965,
12,5.5#39.3,3.919,
13,6.625#17,6.01,
14,6.625#20,5.924,
15,6.625#24,5.796,
16,6.625#28,5.666,
17,6.625#32,5.55,
18,6.625#35,5.45,
19,6.625#43.2,5.25,
20,6.625#69.63,4.25,
21,7#17,6.413,
22,7#20,6.331,
23,7#23,6.241,
24,7#26,6.151,
25,7#29,6.059,
26,7#32,5.969,
27,7#35,5.879,
28,7#38,5.795,
29,7#41,5.695,
30,7#42.7,5.625,
31,7#44,5.595,
32,7#45.4,5.535,
33,7#49.5,5.415, 
34,7#56.1,5.251,
35,7#58,5.115,
36,7#66.5,4.915,
37,9.625#29.3,8.907,
38,9.625#32.3,8.845,
39,9.625#36,8.765,
40,9.625#38,8.76,
41,9.625#40,8.679,
42,9.625#43.5,8.599,
43,9.625#47,8.525,
44,9.625#53.5,8.379,
45,9.625#58.4,8.279,
46,9.625#59.4,8.251,
47,9.625#61.1,8.219,
48,9.625#64.9,8.125,
49,9.625#70.3,8.001,
50,9.625#71.8,7.696,
